A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
8.4913,1.5968,1.6643,5.7411,6.7219,TL
8.8102,1.6562,2.8663,6.1244,6.3947,TL
8.9009,1.495,1.4731,5.6272,6.5441,TL
9.2872,1.5995,1.581,6.2714,6.7007,TL
8.7101,1.7605,2.0794,5.6113,6.3103,TL
8.7192,1.4767,1.5096,5.9005,6.4618,TL
8.7746,1.6824,1.7324,5.7854,6.798,TL
8.7124,1.5937,1.6319,5.9983,6.8112,TL
8.5857,1.6922,1.7463,6.0959,6.2999,TL
8.5012,1.4767,2.4578,5.6856,6.4663,TL
8.6365,1.8998,2.1567,5.7968,6.5194,TL
8.6063,1.6001,3.025,5.5865,6.7151,TL
8.5424,1.4767,1.5111,6.2416,6.3418,TL
8.508,1.6103,1.6501,5.7785,6.5237,TL
8.866,1.5163,2.5511,5.6796,6.6766,TL
8.3982,2.1894,2.2525,5.8337,6.313,TL
8.3253,1.6104,2.0511,5.5865,6.3506,TL
8.8114,1.7843,1.7397,6.4018,6.7341,TL
8.0857,1.4767,2.2177,5.0708,5.7746,TL
8.3537,1.8642,1.8941,5.6138,6.3229,TL
8.6136,1.4767,1.5141,5.8732,6.5069,TL
8.8286,1.6128,2.1841,5.6656,6.786,TL
8.8534,1.4731,1.4731,5.7449,6.5708,TL
8.7746,1.6248,2.3502,5.994,6.604,TL
8.8579,1.8458,2.3671,6.6001,7.0546,TL
9.1995,1.4731,1.9805,6.0343,6.6575,TL
8.9386,1.4731,1.4767,5.439,6.5053,TL
8.5406,2.0817,2.0485,6.113,6.4189,TL
8.2965,1.5268,2.4729,5.1121,6.2595,TL
8.2372,1.938,2.0267,5.937,6.3169,TL
8.8888,1.5096,1.495,5.9167,6.5741,TL
8.9706,1.723,2.1033,5.8904,7.0912,TL
8.7981,1.8345,2.3207,6.7932,7.1351,TL
8.7819,1.4731,2.3673,6.1391,6.5879,TL
8.7835,2.0195,2.256,5.674,6.1848,TL
8.238,1.8662,2.2424,5.3616,5.9656,TL
8.7843,1.4731,1.4731,6.256,6.8808,TL
8.6052,1.4927,1.5096,6.0716,6.7611,TL
9.2868,1.4767,1.9152,6.0392,7.2569,TL
8.4552,1.9307,1.9332,5.7688,6.5263,TL
9.1268,1.4767,1.4767,5.8053,6.5575,TL
9.5599,1.6356,2.4551,6.865,7.2863,TL
8.2348,1.495,1.7135,4.7958,6.2106,TL
8.1977,1.5163,1.7019,5.3364,6.1761,TL
8.6331,1.7693,2.1012,5.915,6.4422,TL
8.7708,2.6603,1.5096,6.3064,6.9674,TL
8.9961,1.5296,1.6685,5.9253,6.7885,TL
9.1533,1.5227,2.8468,5.9006,6.9065,TL
8.7705,1.8642,2.2669,5.9522,6.4952,TL
9.1748,1.5167,2.1211,6.0146,6.4272,TL
8.8673,1.7002,1.739,6.7788,6.9047,TL
9.6172,1.8697,1.9747,8.1533,7.3776,TL
9.5052,1.5731,1.5226,6.7336,7.1946,TL
8.2518,1.4767,1.4731,5.4376,6.2593,TL
8.3233,1.6515,2.278,5.3655,6.0252,TL
8.7142,1.71,2.0707,5.5952,6.1952,TL
8.5985,1.4927,1.5658,6.7073,6.9411,TL
9.2001,1.6722,1.5783,5.9745,7.0445,TL
8.6054,1.6435,2.0244,5.9818,6.2892,TL
8.3484,1.6594,1.6781,5.9609,6.5244,TL
